
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
4 4 100 0.389959 4 1.73361 3 1.32323 9.5 6.30512 4.56842 3 4.758 4 25.64 3 12.3975 0.316 3 0.322 2 0.318 0.678 2 0.684 3 0.682
5 4 100 0.386396 4 1.72947 3 1.33606 9.6 6.32017 4.53125 3 4.47 4 25.828 3 12.5045 0.308 1 0.316 2 0.314 0.684 2 0.692 1 0.686
6 4 100 0.346868 4 1.73451 2 1.33996 9.54545 6.47854 4.24762 3 3.48 4 25.38 3 12.4275 0.312 1 0.318 4 0.3155 0.682 4 0.688 1 0.6845
7 4 100 0.3515 4 1.68574 3 1.30659 9.45455 6.46425 4.27885 3 3.988 4 25.986 3 12.3985 0.316 4 0.32 1 0.318 0.68 1 0.684 4 0.682
8 4 100 0.393331 4 1.72957 3 1.30588 9.5 6.30316 4.55789 3 4.986 4 26.3 3 12.539 0.314 1 0.318 2 0.316 0.682 2 0.686 1 0.684
9 4 100 0.385939 4 1.73359 3 1.32181 9.6 6.32017 4.53125 3 4.398 4 26.414 3 12.4735 0.314 2 0.32 1 0.3165 0.68 1 0.686 2 0.6835
10 4 100 0.351426 4 1.68882 3 1.31225 9.45455 6.46425 4.27885 3 3.9 4 26.202 3 12.478 0.316 2 0.324 1 0.318 0.676 1 0.684 2 0.682




Configuration FH_rang_c=0.945_n=1000
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.21707 3 3.87657 2 2.21046 17.3636 24.4703 17.3636 2 1.621 3 35.144 2 16.6797 0.087 1 0.09 2 0.0886667 0.91 2 0.913 1 0.911333
2 3 100 0.214518 3 3.87489 2 2.20559 17.3818 24.4759 17.3818 2 1.5 3 35.031 2 16.626 0.087 1 0.089 2 0.0883333 0.911 2 0.913 1 0.911667
3 3 100 0.214535 3 3.86538 2 2.19828 17.3818 24.4759 17.3818 2 1.584 3 35.405 2 16.7033 0.087 1 0.089 2 0.0883333 0.911 2 0.913 1 0.911667
4 3 100 0.217067 3 3.87823 2 2.20993 17.3636 24.4703 17.3636 2 1.623 3 35.033 2 16.68 0.089 3 0.092 1 0.0903333 0.908 1 0.911 3 0.909667
5 3 100 0.217067 3 3.87281 2 2.2121 17.3636 24.4703 17.3636 2 1.578 3 35.093 2 16.6233 0.088 1 0.089 2 0.0886667 0.911 2 0.912 1 0.911333
6 3 100 0.214489 3 3.82267 2 2.22517 17.3818 24.4759 17.3818 2 1.37 3 34.706 2 16.6817 0.087 1 0.089 2 0.0883333 0.911 2 0.913 1 0.911667
7 3 100 0.217067 3 3.86447 2 2.21267 17.3636 24.4703 17.3636 2 1.578 3 35.031 2 16.5957 0.089 2 0.09 1 0.0893333 0.91 1 0.911 2 0.910667
8 3 100 0.217069 3 3.88926 2 2.20356 17.3636 24.4703 17.3636 2 1.622 3 35.003 2 16.6463 0.088 1 0.089 2 0.0886667 0.911 2 0.912 1 0.911333
